year,week,date,home_team,home_conference,home_points,away_team,away_conference,away_points,significance,home_rank,away_rank,outlet
2013,10,2013-11-02 16:00:00+00:00,Purdue,Big Ten,0,Ohio State,Big Ten,56,ranked_matchup,,4.0,BTN
2013,10,2013-11-02 16:00:00+00:00,Massachusetts,Mid-American,19,Northern Illinois,Mid-American,63,ranked_matchup,,21.0,ESGP
2013,10,2013-11-02 16:00:00+00:00,Iowa,Big Ten,9,Wisconsin,Big Ten,28,ranked_matchup,,22.0,ESPN2
2013,10,2013-11-02 16:21:00+00:00,South Carolina,SEC,34,Mississippi State,SEC,16,ranked_matchup,14.0,,ESGP
2013,10,2013-11-02 19:30:00+00:00,Michigan State,Big Ten,29,Michigan,Big Ten,6,"ranked_matchup,upset_victory",24.0,23.0,ABC
2013,10,2013-11-02 19:30:00+00:00,Virginia,ACC,10,Clemson,ACC,59,ranked_matchup,,9.0,ESPN
2013,10,2013-11-02 22:00:00+00:00,Arkansas,SEC,17,Auburn,SEC,35,ranked_matchup,,8.0,ESPN2
2013,10,2013-11-02 23:00:00+00:00,Texas Tech,Big 12,34,Oklahoma State,Big 12,52,"ranked_matchup,upset_victory",15.0,18.0,FOX
2013,10,2013-11-02 23:00:00+00:00,Missouri,SEC,31,Tennessee,SEC,3,ranked_matchup,10.0,,ESPN
2013,10,2013-11-02 23:30:00+00:00,UCLA,Pac-12,45,Colorado,Pac-12,23,ranked_matchup,17.0,,FS1
2013,10,2013-11-03 00:00:00+00:00,Florida State,ACC,41,Miami,ACC,14,ranked_matchup,3.0,7.0,ABC
2013,10,2013-11-03 01:00:00+00:00,Texas A&M,SEC,57,UTEP,Conference USA,7,ranked_matchup,12.0,,ESPN2
2013,10,2013-11-03 02:30:00+00:00,Fresno State,Mountain West,41,Nevada,Mountain West,23,ranked_matchup,16.0,,ESPNU
2013,11,2013-11-08 00:30:00+00:00,Baylor,Big 12,41,Oklahoma,Big 12,12,ranked_matchup,5.0,12.0,FS1
2013,11,2013-11-08 02:00:00+00:00,Stanford,Pac-12,26,Oregon,Pac-12,20,"ranked_matchup,upset_victory",6.0,2.0,ESPNM
2013,11,2013-11-09 01:30:00+00:00,UConn,American Athletic,10,Louisville,American Athletic,31,ranked_matchup,,20.0,ESPN2
2013,11,2013-11-09 17:00:00+00:00,Texas Tech,Big 12,26,Kansas State,Big 12,49,ranked_matchup,25.0,,ESGP
2013,11,2013-11-09 17:00:00+00:00,Wake Forest,ACC,3,Florida State,ACC,59,ranked_matchup,,3.0,ESGP
2013,11,2013-11-09 17:00:00+00:00,Kentucky,SEC,17,Missouri,SEC,48,ranked_matchup,,9.0,ESPNU
2013,11,2013-11-09 17:00:00+00:00,Tennessee,SEC,23,Auburn,SEC,55,ranked_matchup,,7.0,ESPNM
2013,11,2013-11-09 20:30:00+00:00,Wisconsin,Big Ten,27,BYU,FBS Independents,17,ranked_matchup,21.0,,ESPN
2013,11,2013-11-09 20:30:00+00:00,Texas A&M,SEC,51,Mississippi State,SEC,41,ranked_matchup,11.0,,CBS
2013,11,2013-11-09 21:00:00+00:00,Utah,Pac-12,19,Arizona State,Pac-12,20,ranked_matchup,,23.0,PAC12
2013,11,2013-11-09 21:00:00+00:00,Oklahoma State,Big 12,42,Kansas,Big 12,6,ranked_matchup,15.0,,FS1
2013,11,2013-11-10 00:00:00+00:00,UCF,American Athletic,19,Houston,American Athletic,14,ranked_matchup,19.0,,ESPN2
2013,11,2013-11-10 00:00:00+00:00,Miami,ACC,24,Virginia Tech,ACC,42,ranked_matchup,14.0,,ESPNM
2013,11,2013-11-10 01:00:00+00:00,Pittsburgh,ACC,28,Notre Dame,FBS Independents,21,ranked_matchup,,24.0,ABC
2013,11,2013-11-10 01:00:00+00:00,Alabama,SEC,38,LSU,SEC,17,ranked_matchup,1.0,10.0,CBS
2013,11,2013-11-10 03:00:00+00:00,Arizona,Pac-12,26,UCLA,Pac-12,31,ranked_matchup,,16.0,ESPNM
2013,11,2013-11-10 03:15:00+00:00,Wyoming,Mountain West,10,Fresno State,Mountain West,48,ranked_matchup,,17.0,ESPN2
2013,12,2013-11-14 01:00:00+00:00,Northern Illinois,Mid-American,48,Ball State,Mid-American,27,ranked_matchup,20.0,,ESPN2
2013,12,2013-11-15 00:30:00+00:00,Clemson,ACC,55,Georgia Tech,ACC,31,ranked_matchup,8.0,,ESPN
2013,12,2013-11-16 02:00:00+00:00,UCLA,Pac-12,41,Washington,Pac-12,31,ranked_matchup,13.0,,ESPN2
